session_id,experiment_id,run_index,timestamp,tier,phase,candidate,change,baseline_ref,commit_hash,env_snapshot_id,primary_metric,quality_metric,peak_gpu_mem_mib,quality_verdict,win_status,logging_mode,event_log_anchor,notes,gpu_util_avg,cpu_util_avg,compile_time_s,hp_values_json
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:0,0,2026-05-04T16:52:27-04:00,short,prep_p1_sanity_baseline,baseline,none,,e23ffee,env_2026-05-04_cn-l003,7722.1,8.693,4659.6,PASS,NA,original,T+15,sanity baseline; voir ran ~440s (stop=200 obs at ~2.15s/obs); max_duration=120 not enforced by voir earlystop; both extraction recipes return numeric values,NA,NA,NA,{}
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:1,1,2026-05-05T10:12:00-04:00,short,prep_p2_short_baseline,baseline,seed=2,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7733.0,NA,4659.6,NA,NA,original,T+50,short-run baseline replicate seed=2; voir stop=200 skip=5; n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 2}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:2,2,2026-05-05T10:12:00-04:00,short,prep_p2_short_baseline,baseline,seed=3,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7815.5,NA,4659.6,NA,NA,original,T+50,short-run baseline replicate seed=3; voir stop=200 skip=5; n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 3}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:3,3,2026-05-05T10:12:00-04:00,short,prep_p2_short_baseline,baseline,sweep run seed=1,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7722.0,NA,4659.6,NA,NA,original,T+50,default HP sweep run used as 4th short-run baseline replicate,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 1}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:4,4,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e64_s128_m4_u4,num_envs=64 (-50%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,6704.8,NA,2825.6,NA,NA,original,T+50,Tier-1 sweep; num_envs=64 (-50%); n=200 obs,NA,NA,NA,"{""num_envs"": 64, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:5,5,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m4_u4,default (baseline),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7722.0,NA,4659.6,NA,NA,original,T+50,Tier-1 sweep; default (baseline); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:6,6,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e256_s128_m4_u4,num_envs=256 (+100%); rerun with max_dur=1200,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8997.6,NA,7249.6,NA,NA,rerun,T+50,Tier-1 sweep; num_envs=256 (+100%); rerun with max_dur=1200; n=200 obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:7,7,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e512_s128_m4_u4,num_envs=512 (+300%); stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8092.7,NA,13613.6,NA,NA,rerun,T+50,Tier-1 sweep; num_envs=512 (+300%); stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 512, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:8,8,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s64_m4_u4,num_steps=64 (-50%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7538.8,NA,2529.6,NA,NA,original,T+50,Tier-1 sweep; num_steps=64 (-50%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 64, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:9,9,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e128_s256_m4_u4,num_steps=256 (+100%); rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7807.8,NA,8349.6,NA,NA,rerun,T+50,Tier-1 sweep; num_steps=256 (+100%); rerun; n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 256, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:10,10,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e128_s512_m4_u4,num_steps=512 (+300%); stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7042.7,NA,14603.6,NA,NA,rerun,T+50,Tier-1 sweep; num_steps=512 (+300%); stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 512, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:11,11,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m2_u4,num_minibatches=2 (-50%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7512.4,NA,6585.6,NA,NA,original,T+50,Tier-1 sweep; num_minibatches=2 (-50%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 2, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:12,12,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m8_u4,num_minibatches=8 (+100%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7933.9,NA,3411.6,NA,NA,original,T+50,Tier-1 sweep; num_minibatches=8 (+100%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 8, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:13,13,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m16_u4,num_minibatches=16 (+300%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7806.8,NA,3217.6,NA,NA,original,T+50,Tier-1 sweep; num_minibatches=16 (+300%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 16, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:14,14,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m4_u1,update_epochs=1 (-75%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8072.6,NA,4659.6,NA,NA,original,T+50,Tier-1 sweep; update_epochs=1 (-75%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 1}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:15,15,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m4_u2,update_epochs=2 (-50%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7877.3,NA,4659.6,NA,NA,original,T+50,Tier-1 sweep; update_epochs=2 (-50%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 2}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:16,16,2026-05-05T10:12:00-04:00,short,prep_p2_sweep,e128_s128_m4_u8,update_epochs=8 (+100%),2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,6655.0,NA,4659.6,NA,NA,original,T+50,Tier-1 sweep; update_epochs=8 (+100%); n=200 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 8}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:17,17,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e256_s256_m8_u4,cross: envs=256 steps=256 mb=8; stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,9023.0,NA,10779.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: envs=256 steps=256 mb=8; stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 256, ""num_minibatches"": 8, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:18,18,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e512_s256_m8_u4,cross: envs=512 steps=256 mb=8; stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8286.9,NA,20671.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: envs=512 steps=256 mb=8; stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 512, ""num_steps"": 256, ""num_minibatches"": 8, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:19,19,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e256_s128_m2_u4,cross: envs=256 mb=2; rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,8208.0,NA,11105.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: envs=256 mb=2; rerun; n=200 obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 2, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:20,20,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e512_s128_m2_u4,cross: envs=512 mb=2; stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7913.2,NA,21319.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: envs=512 mb=2; stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 512, ""num_steps"": 128, ""num_minibatches"": 2, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:21,21,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e256_s128_m4_u8,cross: envs=256 ep=8; stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,7447.0,NA,7249.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: envs=256 ep=8; stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 8}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:22,22,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e128_s256_m4_u8,cross: steps=256 ep=8; stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,6548.3,NA,8349.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: steps=256 ep=8; stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 256, ""num_minibatches"": 4, ""update_epochs"": 8}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:23,23,2026-05-05T13:00:00-04:00,short,prep_p2_sweep,e512_s128_m4_u8,cross: envs=512 ep=8; stop=80 rerun,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,6647.7,NA,13613.6,NA,NA,rerun,T+50,Tier-1 sweep; cross: envs=512 ep=8; stop=80 rerun; n=80 obs,NA,NA,NA,"{""num_envs"": 512, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 8}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:24,24,2026-05-05T10:24:00-04:00,full,prep_p2_default_ttr,baseline,seed=1,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,700.2,113.75,4659.6,PASS,NA,original,T+55,Tier-2 TTR seed=1; voir stop=600; target=94.683; ttr=700.2s,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 1}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:25,25,2026-05-05T10:24:00-04:00,full,prep_p2_default_ttr,baseline,seed=2,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,900.0,64.85,4659.6,DNF,NA,original,T+55,Tier-2 TTR seed=2; voir stop=600; target=94.683; ttr=900.0s (DNF: max quality 93.4 < target 94.683),NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 2}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:26,26,2026-05-05T10:24:00-04:00,full,prep_p2_default_ttr,baseline,seed=3,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_sweep,841.8,105.45,4659.6,PASS,NA,original,T+55,Tier-2 TTR seed=3; voir stop=600; target=94.683; ttr=841.8s,NA,NA,NA,"{""num_envs"": 128, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4, ""seed"": 3}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:27,27,2026-05-05T13:05:00-04:00,full,prep_p2_validation,e256_s128_m4_u4,num_envs=256 (+100%); seed=1,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_ttr_val,900.0,46.15,7249.6,DNF,NA,original,T+65,DNF max=46.15<target 94.683; voir killed by max_dur (node slower); TB data ok,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:28,28,2026-05-05T13:05:00-04:00,full,prep_p2_validation,e256_s128_m4_u4,num_envs=256 (+100%); seed=2,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_ttr_val,900.0,47.05,7249.6,DNF,NA,original,T+65,DNF max=47.05<target 94.683; 400 voir obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
2026-05-04_prep_torchatari_2,2026-05-04_prep_torchatari_2:29,29,2026-05-05T13:05:00-04:00,full,prep_p2_validation,e256_s128_m4_u4,num_envs=256 (+100%); seed=3,2026-05-04_prep_torchatari_2:0,e23ffee,env_2026-05-05_ttr_val,900.0,49.35,7249.6,DNF,NA,original,T+65,DNF max=49.35<target 94.683; 400 voir obs,NA,NA,NA,"{""num_envs"": 256, ""num_steps"": 128, ""num_minibatches"": 4, ""update_epochs"": 4}"
